System,ShaftSize,ShaftUnits,SternSize,SternUnits,FSK_Template,FSK_Notes,Priority,RuleType,Is_US_Recommended,Stretch_Type,Stretch_Backend_in,Stretch_Stern_in,FSA_Template,FSA_Tail_OD_in,Hose_Code,Hose_End1_in,Hose_End2_in,Clamp1_Code,Clamp1_Qty,Clamp2_Code,Clamp2_Qty,Comments
SureSeal,1.125,in,1.875,in,nan,,2,Rule Engine,False,None,0.0,0.0,FSA-1125-1875-1,1.875,HOSE 1875,1.875,1.875,CLAMP-2000,2,CLAMP-2000,2,Rule Engine; Straight; Orientation A->Backend
SureSeal,1.125,in,2.0,in,FSK-1125-2000-0,,2,Rule Engine,False,None,0.0,0.0,FSA-1125-1750-0,1.75,HS 1750-2000,1.75,2.0,CLAMP-2000,2,CLAMP-2000,2,Rule Engine; Articulated; Orientation A->Backend
SureSeal,1.125,in,2.0,in,FSK-1125-2000-0,,2,Rule Engine,False,None,0.0,0.0,FSA-1125-2000-0,2.0,HS 2000-2000,2.0,2.0,CLAMP-2000,2,CLAMP-2000,2,Rule Engine; Articulated; Orientation A->Backend
SureSeal,1.125,in,2.0,in,FSK-1125-2000-1,,1,US Recommended,True,None,0.0,0.0,FSA-1125-2000-1,2.0,HS 2000-2000,2.0,2.0,CLAMP-2000,2,CLAMP-2000,2,US Recommended; Articulated Hose; Orientation A->Backend
SureSeal,1.125,in,2.0,in,FSK-1125-2000-1,,2,Rule Engine,False,None,0.0,0.0,FSA-1125-1750-1,1.75,HS 1750-2000,1.75,2.0,CLAMP-2000,2,CLAMP-2000,2,Rule Engine; Articulated; Orientation A->Backend
SureSeal,1.125,in,2.25,in,FSK-1125-2250-0,,2,Rule Engine,False,None,0.0,0.0,FSA-1125-2250-0,2.25,HOSE 2250,2.25,2.25,CLAMP-4000,2,CLAMP-4000,2,Rule Engine; Straight; Orientation A->Backend
SureSeal,1.125,in,2.25,in,FSK-1125-2250-1,,1,US Recommended,True,None,0.0,0.0,FSA-1125-2375-1,2.375,HS 2250-2375,2.25,2.375,CLAMP-4000,2,CLAMP-4000,2,US Recommended; Articulated Hose; Orientation B->Backend
SureSeal,1.125,in,2.25,in,FSK-1125-2250-1,,2,Rule Engine,False,None,0.0,0.0,FSA-1125-2250-1,2.25,HOSE 2250,2.25,2.25,CLAMP-4000,2,CLAMP-4000,2,Rule Engine; Straight; Orientation A->Backend
SureSeal,1.125,in,2.375,in,nan,,2,Rule Engine,False,None,0.0,0.0,FSA-1125-2375-0,2.375,HOSE 2375,2.375,2.375,CLAMP-4000,2,CLAMP-4000,2,Rule Engine; Straight; Orientation A->Backend
SureSeal,1.125,in,2.375,in,nan,,3,Rule Engine,False,Backend,0.125,0.0,FSA-1125-2500-0,2.5,HOSE 2375,2.375,2.375,CLAMP-4000,2,CLAMP-4000,2,"Rule Engine; Straight; Orientation A->Backend; Stretch backend 0.125in, stern 0.000in"
